stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1007O00025C0,,Professor Quintino do Vale,,-22.917860,-43.209220,,,0,,,,
1007O00009C0,,Barão de Sertório,,-22.920590,-43.212750,,,0,,,,
1007O00063C0,,Conselheiro Barros,,-22.922680,-43.214010,,,0,,,,
1007O00020C0,,Itapiru,,-22.925550,-43.205130,,,0,,,,
1007O00064C0,,Casa de Portugal,,-22.924800,-43.211720,,,0,,,,
1007O00014C0,,Hospital Alemão do Amparo,,-22.926160,-43.204900,,,0,,,,
1006O00010C0,,Coroa,,-22.922270,-43.197260,,,0,,,,
1007O00077C0,,Helênico Atlético Clube,,-22.925151,-43.203004,,,0,,,,
1007O00040C0,,Galvão,,-22.925130,-43.199610,,,0,,,,
1007O00074C0,,Vila Anchieta,,-22.928348,-43.203432,,,0,,,,
1006O00008C0,,Fallet,,-22.924140,-43.198490,,,0,,,,
1006O00018C0,,Coroa,,-22.922234,-43.197393,,,0,,,,
1006O00007C0,,Doutor Agra,,-22.920230,-43.196610,,,0,,,,
1006O00011C0,,Itapiru,,-22.920500,-43.195910,,,0,,,,
1006O00009C0,,Fallet,,-22.923570,-43.197900,,,0,,,,
1007O00024C0,,Edifício Jardim Tijuca,,-22.919920,-43.208580,,,0,,,,
1007O00030C0,,Paula Ramos,,-22.933590,-43.209240,,,0,,,,
1007O00021C0,,Costa Ferraz,,-22.923657,-43.206368,,,0,,,,
1007O00032C0,,Caetano Martins,,-22.923900,-43.204500,,,0,,,,
1007O00076C0,,Igreja Batista Shalom,,-22.925151,-43.201223,,,0,,,,
1005O00376S2,2J8F,"BRS 1,4: Passos",,-22.903617,-43.185315,,,0,,,,
1007O00031C0,,Helênico Atlético Clube,,-22.924970,-43.202990,,,0,,,,
1006O00006C0,,Cemitério São Francisco de Paula,,-22.919070,-43.195730,,,0,,,,
1006O00004C0,,Catumbi,,-22.917070,-43.195430,,,0,,,,
1006O00015C0,,Itapiru,,-22.916180,-43.194520,,,0,,,,
1006O00016C0,,Frei Caneca,,-22.914663,-43.195969,,,0,,,,
1006O00017C0,,Itapiru,,-22.916600,-43.195210,,,0,,,,
1007O00075C0,,Torre de Furnas,,-22.927058,-43.208334,,,0,,,,
1006O00012C0,,Praça Jardineira,,-22.919750,-43.194386,,,0,,,,
1007O00015C0,,Vila Anchieta,,-22.928232,-43.203643,,,0,,,,
1007O00039C0,,Igreja Batista Shalom,,-22.925285,-43.201492,,,0,,,,
1007O00057C0,,Hospital Central do Corpo de Bombeiros,,-22.931356,-43.208737,,,0,,,,
1005O00375S2,2JHG,"BRS 2,3,5,I: Passos",,-22.903332,-43.184461,,,0,,,,
1005O00374C2,,Comando Aéreo Leste,,-22.908598,-43.168241,,,0,,,,
1007O00022C0,,Aristides Lobo,,-22.923420,-43.207860,,,0,,,,
1007O00019C0,,Flor de Maio,,-22.929946,-43.201885,,,0,,,,
1008O00017C0,,Pinto de Azevedo,,-22.912297,-43.204420,,,0,,,,
1008O00038C0,,Marquês de Sapucaí,,-22.908610,-43.197950,,,0,,,,
1009O00007C0,,Emilia Guimarães,,-22.915970,-43.196510,,,0,,,,
1007O00052C0,,Batista das Neves,,-22.917770,-43.210180,,,0,,,,
1007O00051C0,,Batista das Neves,,-22.917970,-43.209870,,,0,,,,
fc04,,Arroio Fundo,,-22.958153,-43.358380,,,0,,,,
1007O00049C0,,Barão de Itapagipe,,-22.919430,-43.209790,,,0,,,,
1007O00068C0,,Antônio Pedro Galiazzi,,-22.920919,-43.209982,,,0,,,,
1007O00043C0,,Japeri,,-22.922610,-43.211130,,,0,,,,
1007O00042C0,,Cândido de Oliveira,,-22.926000,-43.208460,,,0,,,,
1007O00060C0,,Estrela,,-22.925820,-43.209420,,,0,,,,
1007O00070C0,,Bispo,,-22.925880,-43.209720,,,0,,,,
1007O00056C0,,Hospital Central do Corpo de Bombeiros,,-22.931560,-43.209220,,,0,,,,
